created,text,retwc,hashtag,followers,friends
1/18/18 6:38,RT @mulplayer: Dashing Portraits of Cats Dressed in Royal Attireâù— https://t.co/8IvaMaDEiQ https://t.co/DbY9kqThsA,28,None,3300,4678
1/18/18 6:38,"@OwenBenjamin Sincerely believe that dogs make people behave better.

Almost every person I've talked to who preferâ€_ https://t.co/DT0Fnajou2",0,None,18,214
1/18/18 6:38,"RT @CPChiltern: We always love to see how far our foster cats have come. We found Lacy in terrible condition last year &amp; here she is now, sâ€_",20,None,437,496
1/18/18 6:38,RT @shaikaparween: Cats are the true healers you can rely on! Meet my kitties Casper and Oreo! #Cat #Kitten #Pet #PetLover #LoveForPet #MyPâ€_,8,Cat,8,17
1/18/18 6:38,"@_nrdstdt_ Trink was, Nordi!",0,None,269,127
1/18/18 6:38,RT @CNybak: Turkish cats waiting for Turkish fishermen to come back to shore. https://t.co/sQkAcX15Ek,77,None,94,15
1/18/18 6:38,"RT @KeighleyCatCare: Honey has been in rescue for 1 full year now.
The perfect family is out there somewhere, she's about 2 years old and hâ€_",134,None,121,177
1/18/18 6:38,why are my cats so catlike,0,None,3362,968
1/18/18 6:38,"RT @FreeTonyTiger: Help Big Cats Like Tony, Who Died After a Miserable Life at a Gas Station https://t.co/5sqpefPl1F https://t.co/hlvhTrsn5s",11,None,188,2183
1/18/18 6:38,Lucky Shamrocks Sparkle - Clovers All Over racer back tank #shamrocks #stpatricksday #luckyclover #sparkle viaâ€_ https://t.co/l9fjBdEwhr,0,shamrocks,4715,4611
1/18/18 6:38,"nothing more satisfying than seeing a kitty Spider-Man high up a carpetted basement wall.
Declawed cats suck at it. https://t.co/OmHuEf2ekN",0,None,338,726
1/18/18 6:38,"RT @CAPathway: It was a warm day in Adelaide today with the #U15Champs matches reduced to 20-overs each, @SACAnews, @cricketvictoria Metro,â€_",3,U15Champs,60,84
