created,text,retwc,hashtag,followers,friends
2018-01-18 06:38:48,"RT @CPChiltern: We always love to see how far our foster cats have come. We found Lacy in terrible condition last year &amp; here she is now, s…",20,None,437,496
2018-01-18 06:38:46,RT @shaikaparween: Cats are the true healers you can rely on! Meet my kitties Casper and Oreo! #Cat #Kitten #Pet #PetLover #LoveForPet #MyP…,8,Cat,8,17
2018-01-18 06:38:41,"@_nrdstdt_ Trink was, Nordi!",0,None,269,127
2018-01-18 06:38:41,RT @CNybak: Turkish cats waiting for Turkish fishermen to come back to shore. https://t.co/sQkAcX15Ek,77,None,94,15
2018-01-18 06:38:40,"RT @KeighleyCatCare: Honey has been in rescue for 1 full year now.
The perfect family is out there somewhere, she's about 2 years old and h…",134,None,121,177
2018-01-18 06:38:38,why are my cats so catlike,0,None,3362,968
2018-01-18 06:38:34,"RT @FreeTonyTiger: Help Big Cats Like Tony, Who Died After a Miserable Life at a Gas Station https://t.co/5sqpefPl1F https://t.co/hlvhTrsn5s",11,None,188,2183
2018-01-18 06:38:32,Lucky Shamrocks Sparkle - Clovers All Over racer back tank #shamrocks #stpatricksday #luckyclover #sparkle via… https://t.co/l9fjBdEwhr,0,shamrocks,4715,4611
2018-01-18 06:38:29,"nothing more satisfying than seeing a kitty Spider-Man high up a carpetted basement wall.
Declawed cats suck at it. https://t.co/OmHuEf2ekN",0,None,338,726
2018-01-18 06:38:25,"RT @CAPathway: It was a warm day in Adelaide today with the #U15Champs matches reduced to 20-overs each, @SACAnews, @cricketvictoria Metro,…",3,U15Champs,60,84
